,Zero Values,Missing Values,% of Total Values,Total Zero Missing Values,% Total Zero Missing Values
Volume_EBAY,0,1242,18.520727706531463,1242,18.520727706531463
Close_EA,0,0,0.0,0,0.0
Volume_EA,0,0,0.0,0,0.0
Close_EXC,0,0,0.0,0,0.0
Volume_EXC,0,0,0.0,0,0.0
Close_EXPE,0,2957,44.09484044139577,2957,44.09484044139577
Volume_EXPE,0,2957,44.09484044139577,2957,44.09484044139577
Close_FB,0,4677,69.74351327169698,4677,69.74351327169698
Volume_FB,0,4677,69.74351327169698,4677,69.74351327169698
Close_FAST,0,0,0.0,0,0.0
Volume_FAST,0,0,0.0,0,0.0
Close_FISV,0,0,0.0,0,0.0
Volume_FISV,0,0,0.0,0,0.0
Close_FOX,0,6390,95.28780196838652,6390,95.28780196838652
Volume_FOX,0,6390,95.28780196838652,6390,95.28780196838652
Close_GILD,0,0,0.0,0,0.0
Volume_GILD,4,0,0.0,4,0.059648076349537726
Close_IDXX,0,0,0.0,0,0.0
Volume_IDXX,0,0,0.0,0,0.0
Close_ILMN,0,1707,25.454816582165225,1707,25.454816582165225
Volume_ILMN,0,1707,25.454816582165225,1707,25.454816582165225
Close_INCY,0,8,0.11929615269907545,8,0.11929615269907545
Volume_INCY,1,8,0.11929615269907545,9,0.13420817178645988
Close_INTC,0,0,0.0,0,0.0
Volume_INTC,0,0,0.0,0,0.0
Close_INTU,0,0,0.0,0,0.0
Volume_INTU,0,0,0.0,0,0.0
Close_ISRG,0,1678,25.022368028631078,1678,25.022368028631078
Volume_ISRG,0,1678,25.022368028631078,1678,25.022368028631078
Close_JD,0,5181,77.25917089173875,5181,77.25917089173875
Volume_JD,0,5181,77.25917089173875,5181,77.25917089173875
Close_KLAC,0,0,0.0,0,0.0
Volume_KLAC,0,0,0.0,0,0.0
Close_KHC,0,5462,81.44944825529376,5462,81.44944825529376
Volume_KHC,0,5462,81.44944825529376,5462,81.44944825529376
Close_LRCX,0,0,0.0,0,0.0
Volume_LRCX,0,0,0.0,0,0.0
Close_LBTYK,0,2991,44.601849090366834,2991,44.601849090366834
Volume_LBTYK,0,2991,44.601849090366834,2991,44.601849090366834
Close_LULU,0,3464,51.655234118699674,3464,51.655234118699674
Volume_LULU,0,3464,51.655234118699674,3464,51.655234118699674
Close_MAR,0,0,0.0,0,0.0
Volume_MAR,0,0,0.0,0,0.0
Close_MXIM,0,0,0.0,0,0.0
Volume_MXIM,0,0,0.0,0,0.0
Close_MELI,0,3474,51.80435430957352,3474,51.80435430957352
Volume_MELI,0,3474,51.80435430957352,3474,51.80435430957352
Close_MCHP,0,0,0.0,0,0.0
Volume_MCHP,0,0,0.0,0,0.0
Close_MU,0,0,0.0,0,0.0
Volume_MU,0,0,0.0,0,0.0
Close_MSFT,0,0,0.0,0,0.0
Volume_MSFT,0,0,0.0,0,0.0
Close_MDLZ,0,1927,28.7354607813898,1927,28.7354607813898
Volume_MDLZ,0,1927,28.7354607813898,1927,28.7354607813898
Close_MNST,0,0,0.0,0,0.0
Volume_MNST,110,0,0.0,110,1.6403220996122876
Close_NTAP,0,525,7.828810020876826,525,7.828810020876826
Volume_NTAP,1,525,7.828810020876826,526,7.843722039964211
Close_NTES,0,1688,25.17148821950492,1688,25.17148821950492
Volume_NTES,85,1688,25.17148821950492,1773,26.4390098419326
Close_NFLX,0,2161,32.224873247837756,2161,32.224873247837756
Volume_NFLX,0,2161,32.224873247837756,2161,32.224873247837756
Close_NVDA,0,1324,19.743513271696987,1324,19.743513271696987
Volume_NVDA,0,1324,19.743513271696987,1324,19.743513271696987
Close_NXPI,0,4227,63.033104682373995,4227,63.033104682373995
Volume_NXPI,0,4227,63.033104682373995,4227,63.033104682373995
Close_ORLY,0,0,0.0,0,0.0
Volume_ORLY,2,0,0.0,2,0.029824038174768863
Close_PCAR,0,0,0.0,0,0.0
Volume_PCAR,0,0,0.0,0,0.0
Close_PAYX,0,0,0.0,0,0.0
Volume_PAYX,0,0,0.0,0,0.0
Close_PYPL,0,5462,81.44944825529376,5462,81.44944825529376
Volume_PYPL,0,5462,81.44944825529376,5462,81.44944825529376
Close_PEP,0,0,0.0,0,0.0
Volume_PEP,0,0,0.0,0,0.0
Close_QCOM,0,0,0.0,0,0.0
Volume_QCOM,0,0,0.0,0,0.0
Close_REGN,0,0,0.0,0,0.0
Volume_REGN,0,0,0.0,0,0.0
Close_ROST,0,0,0.0,0,0.0
Volume_ROST,0,0,0.0,0,0.0
Close_SGEN,0,1861,27.751267521622427,1861,27.751267521622427
Volume_SGEN,1,1861,27.751267521622427,1862,27.76617954070981
Close_SIRI,0,223,3.3253802564867283,223,3.3253802564867283
Volume_SIRI,26,223,3.3253802564867283,249,3.7130927527587234
Close_SWKS,0,0,0.0,0,0.0
Volume_SWKS,0,0,0.0,0,0.0
Close_SPLK,0,4656,69.43036087086192,4656,69.43036087086192
Volume_SPLK,0,4656,69.43036087086192,4656,69.43036087086192
Close_SBUX,0,0,0.0,0,0.0
Volume_SBUX,0,0,0.0,0,0.0
Close_SNPS,0,0,0.0,0,0.0
Volume_SNPS,0,0,0.0,0,0.0
Close_TMUS,0,3395,50.626304801670145,3395,50.626304801670145
Volume_TMUS,0,3395,50.626304801670145,3395,50.626304801670145
Close_TTWO,0,877,13.077840739636146,877,13.077840739636146
Volume_TTWO,22,877,13.077840739636146,899,13.405905159558603
Close_TSLA,0,4200,62.63048016701461,4200,62.63048016701461
Volume_TSLA,0,4200,62.63048016701461,4200,62.63048016701461
Close_TXN,0,0,0.0,0,0.0
Volume_TXN,0,0,0.0,0,0.0
Close_TCOM,0,2551,38.04056069191768,2551,38.04056069191768
Volume_TCOM,0,2551,38.04056069191768,2551,38.04056069191768
Close_ULTA,0,3527,52.59469132120489,3527,52.59469132120489
Volume_ULTA,0,3527,52.59469132120489,3527,52.59469132120489
Close_UAL,0,3094,46.13778705636743,3094,46.13778705636743
Volume_UAL,0,3094,46.13778705636743,3094,46.13778705636743
Close_VRSN,0,1078,16.075156576200417,1078,16.075156576200417
Volume_VRSN,0,1078,16.075156576200417,1078,16.075156576200417
Close_VRSK,0,4018,59.91649269311065,4018,59.91649269311065
Volume_VRSK,0,4018,59.91649269311065,4018,59.91649269311065
Close_VRTX,0,0,0.0,0,0.0
Volume_VRTX,2,0,0.0,2,0.029824038174768863
Close_WBA,0,0,0.0,0,0.0
Volume_WBA,0,0,0.0,0,0.0
Close_WDAY,0,4779,71.2645392186102,4779,71.2645392186102
Volume_WDAY,0,4779,71.2645392186102,4779,71.2645392186102
Close_WDC,0,0,0.0,0,0.0
Volume_WDC,0,0,0.0,0,0.0
Close_XEL,0,0,0.0,0,0.0
Volume_XEL,1,0,0.0,1,0.014912019087384432
Close_XLNX,0,0,0.0,0,0.0
Volume_XLNX,0,0,0.0,0,0.0
Close_ZM,0,6416,95.67551446465852,6416,95.67551446465852
Volume_ZM,0,6416,95.67551446465852,6416,95.67551446465852
